id, name,calories,protein, fat,carbs,vit_a,vit_d,vit_e,vit_b1,vit_b2,vit_c,salt
0578,（しょうが類）　新しょうが　根茎　生,10.00,0.30,0.30,2.70,0.00,0.00,0.10,0.01,0.01,2.00,0.00
0579,しろうり　果実　生,15.00,0.90,0.10,3.30,6.00,0.00,0.20,0.03,0.03,8.00,0.00
0580,しろうり　漬物　塩漬,15.00,1.00,0.10,3.70,6.00,0.00,0.20,0.03,0.03,10.00,2.00
0581,しろうり　漬物　奈良漬,216.00,4.60,0.20,40.00,2.00,0.00,0.10,0.03,0.11,0.00,4.80
0582,ずいき　生ずいき　生,15.00,0.50,0.00,4.10,9.00,0.00,0.40,0.01,0.02,5.00,0.00
0583,ずいき　生ずいき　ゆで,10.00,0.40,0.00,3.10,9.00,0.00,0.30,0.00,0.00,1.00,0.00
0584,ずいき　干しずいき　乾,232.00,6.60,0.40,63.50,1.00,0.00,0.40,0.15,0.30,0.00,0.00
0585,ずいき　干しずいき　ゆで,9.00,0.50,0.00,3.40,0.00,0.00,0.10,0.00,0.01,0.00,0.00
0586,すいぜんじな　葉　生,16.00,0.60,0.60,3.40,350.00,0.00,3.80,0.06,0.12,17.00,0.00
0587,すぐきな　葉　生,23.00,1.90,0.20,5.40,170.00,0.00,3.80,0.08,0.13,73.00,0.10
0588,すぐきな　根　生,19.00,0.60,0.10,4.70,0.00,0.00,0.00,0.03,0.03,13.00,0.10
0589,すぐきな　すぐき漬,30.00,2.60,0.70,6.10,250.00,0.00,2.20,0.12,0.11,35.00,2.20
0590,ズッキーニ　果実　生,16.00,1.30,0.10,2.80,27.00,0.00,0.40,0.05,0.05,20.00,0.00
0591,せり　茎葉　生,17.00,2.00,0.10,3.30,160.00,0.00,0.70,0.04,0.13,20.00,0.00
0592,せり　茎葉　ゆで,17.00,2.10,0.10,3.40,150.00,0.00,0.60,0.02,0.06,10.00,0.00
0593,セロリ　葉柄　生,12.00,0.40,0.10,3.60,4.00,0.00,0.20,0.03,0.03,7.00,0.10
0594,ぜんまい　生ぜんまい　若芽　生,27.00,1.70,0.10,6.60,44.00,0.00,0.60,0.02,0.09,24.00,0.00
0595,ぜんまい　生ぜんまい　若芽　ゆで,17.00,1.10,0.40,4.10,36.00,0.00,0.50,0.01,0.05,2.00,0.00
0596,ぜんまい　干しぜんまい　干し若芽　乾,277.00,14.60,0.60,70.80,59.00,0.00,1.40,0.10,0.41,0.00,0.10
0597,ぜんまい　干しぜんまい　干し若芽　ゆで,25.00,1.70,0.10,6.80,1.00,0.00,0.20,0.00,0.01,0.00,0.00
0598,そらまめ　未熟豆　生,102.00,10.90,0.20,15.50,20.00,0.00,0.00,0.30,0.20,23.00,0.00
0599,そらまめ　未熟豆　ゆで,103.00,10.50,0.20,16.90,18.00,0.00,0.00,0.22,0.18,18.00,0.00
0600,タアサイ　葉　生,12.00,1.30,0.20,2.20,180.00,0.00,1.50,0.05,0.09,31.00,0.10
0601,タアサイ　葉　ゆで,11.00,1.10,0.20,2.30,200.00,0.00,1.70,0.02,0.03,14.00,0.10
0602,（だいこん類）　かいわれだいこん　芽ばえ　生,21.00,2.10,0.50,3.30,160.00,0.00,2.10,0.08,0.13,47.00,0.00
0603,（だいこん類）　葉だいこん　葉　生,17.00,2.00,0.20,3.30,190.00,0.00,1.50,0.07,0.15,49.00,0.10
0604,（だいこん類）　だいこん　葉　生,23.00,2.20,0.10,5.30,330.00,0.00,3.80,0.09,0.16,53.00,0.10
0605,（だいこん類）　だいこん　葉　ゆで,24.00,2.20,0.10,5.40,370.00,0.00,4.90,0.01,0.06,21.00,0.10
0606,（だいこん類）　だいこん　根　皮つき　生,15.00,0.50,0.10,4.10,0.00,0.00,0.00,0.02,0.01,12.00,0.00
0607,（だいこん類）　だいこん　根　皮つき　ゆで,15.00,0.40,0.00,4.50,0.00,0.00,0.00,0.02,0.01,9.00,0.00
0608,（だいこん類）　だいこん　根　皮なし　生,15.00,0.40,0.10,4.10,0.00,0.00,0.00,0.02,0.01,11.00,0.00
0609,（だいこん類）　だいこん　根　皮なし　生　おろし,25.00,0.60,0.20,8.00,0.00,0.00,0.00,0.02,0.01,7.00,0.10
0610,（だいこん類）　だいこん　根　皮なし　生　おろし汁,12.00,0.30,0.00,2.70,0.00,0.00,0.00,0.02,0.01,7.00,0.10
0611,（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,23.00,0.60,0.10,7.20,0.00,0.00,0.00,0.02,0.01,6.00,0.10
0612,（だいこん類）　だいこん　根　皮なし　ゆで,15.00,0.50,0.10,4.00,0.00,0.00,0.00,0.02,0.01,9.00,0.00
0613,（だいこん類）　切干しだいこん　乾,280.00,9.70,0.80,69.70,0.00,0.00,0.00,0.35,0.20,28.00,0.50
0614,（だいこん類）　切干しだいこん　ゆで,13.00,0.90,0.10,4.10,0.00,0.00,0.00,0.01,0.00,0.00,0.00
0615,（だいこん類）　切干しだいこん　油いため,78.00,1.50,6.00,7.60,0.00,0.00,0.90,0.02,0.02,0.00,0.00
0616,（だいこん類）　漬物　いぶりがっこ,76.00,1.10,0.30,21.00,0.00,0.00,0.00,0.08,0.02,0.00,3.50
0617,（だいこん類）　漬物　ぬかみそ漬,29.00,1.30,0.10,6.70,0.00,0.00,0.00,0.33,0.04,15.00,3.80
0618,（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,43.00,0.60,0.30,10.80,0.00,0.00,0.00,0.01,0.01,40.00,3.30
0619,（だいこん類）　漬物　たくあん漬　干しだいこん漬,23.00,1.90,0.10,5.50,0.00,0.00,0.00,0.21,0.03,12.00,2.50
0620,（だいこん類）　漬物　守口漬,194.00,5.30,0.20,44.30,0.00,0.00,0.00,0.05,0.17,0.00,3.60
0621,（だいこん類）　漬物　べったら漬,53.00,0.40,0.20,13.10,0.00,0.00,0.00,0.00,0.11,49.00,2.80
0622,（だいこん類）　漬物　みそ漬,52.00,2.10,0.30,11.40,0.00,0.00,0.00,3.70,0.01,0.00,7.20
0623,（だいこん類）　漬物　福神漬,137.00,2.70,0.10,33.30,8.00,0.00,0.10,0.02,0.10,0.00,5.10
0624,（たいさい類）　つまみな　葉　生,19.00,1.90,0.30,3.60,160.00,0.00,1.40,0.06,0.14,47.00,0.10
0625,（たいさい類）　たいさい　葉　生,15.00,0.90,0.10,3.50,130.00,0.00,0.90,0.07,0.07,45.00,0.10
0626,（たいさい類）　たいさい　塩漬,19.00,1.60,0.10,4.30,180.00,0.00,1.10,0.03,0.07,41.00,1.80
0627,たかな　葉　生,21.00,1.80,0.20,4.20,190.00,0.00,0.80,0.06,0.10,69.00,0.10
0628,たかな　たかな漬,30.00,1.90,0.60,6.20,200.00,0.00,1.60,0.01,0.03,0.00,4.00
0629,たけのこ　若茎　生,27.00,3.60,0.20,4.30,1.00,0.00,0.70,0.05,0.11,10.00,0.00
0630,たけのこ　若茎　ゆで,31.00,3.50,0.20,5.50,1.00,0.00,1.00,0.04,0.09,8.00,0.00
0631,たけのこ　水煮缶詰,22.00,2.70,0.20,4.00,0.00,0.00,1.00,0.01,0.04,0.00,0.00
0632,たけのこ　めんま　塩蔵　塩抜き,15.00,1.00,0.50,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.90
0633,（たまねぎ類）　たまねぎ　りん茎　生,33.00,1.00,0.10,8.40,0.00,0.00,0.00,0.04,0.01,7.00,0.00
0634,（たまねぎ類）　たまねぎ　りん茎　水さらし,24.00,0.60,0.10,6.10,0.00,0.00,0.00,0.03,0.01,5.00,0.00
0635,（たまねぎ類）　たまねぎ　りん茎　ゆで,30.00,0.80,0.10,7.30,0.00,0.00,0.00,0.03,0.01,5.00,0.00
0636,（たまねぎ類）　たまねぎ　りん茎　油いため,100.00,1.40,5.90,12.00,0.00,0.00,0.90,0.04,0.02,9.00,0.00
0637,（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,208.00,3.20,6.80,34.10,0.00,0.00,4.50,0.12,0.03,0.00,0.00
0638,（たまねぎ類）　赤たまねぎ　りん茎　生,34.00,0.90,0.10,9.00,0.00,0.00,0.10,0.03,0.02,7.00,0.00
0639,（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,33.00,1.80,0.40,7.60,120.00,0.00,1.10,0.06,0.11,32.00,0.00
0640,たらのめ　若芽　生,27.00,4.20,0.20,4.30,48.00,0.00,2.40,0.15,0.20,7.00,0.00
0641,たらのめ　若芽　ゆで,27.00,4.00,0.20,4.10,50.00,0.00,2.00,0.07,0.11,3.00,0.00
0642,チコリ　若芽　生,17.00,1.00,0.00,3.90,1.00,0.00,0.20,0.06,0.02,2.00,0.00
0643,ちぢみゆきな　葉　生,35.00,3.60,0.60,5.70,350.00,0.00,0.00,0.09,0.21,69.00,0.00
0644,ちぢみゆきな　葉　ゆで,34.00,3.80,0.70,5.20,500.00,0.00,0.00,0.06,0.12,39.00,0.00
0645,チンゲンサイ　葉　生,9.00,0.60,0.10,2.00,170.00,0.00,0.70,0.03,0.07,24.00,0.10
0646,チンゲンサイ　葉　ゆで,11.00,0.90,0.10,2.40,220.00,0.00,0.90,0.03,0.05,15.00,0.10
0647,チンゲンサイ　葉　油いため,36.00,0.80,3.20,2.20,250.00,0.00,1.40,0.03,0.06,21.00,0.10
0648,つくし　胞子茎　生,31.00,3.50,0.10,8.10,88.00,0.00,4.90,0.07,0.14,33.00,0.00
0649,つくし　胞子茎　ゆで,28.00,3.40,0.10,6.70,96.00,0.00,3.60,0.00,0.10,15.00,0.00
0650,つるな　茎葉　生,15.00,1.80,0.10,2.80,230.00,0.00,1.30,0.08,0.30,22.00,0.00
0651,つるにんじん　根　生,55.00,1.00,0.70,19.80,1.00,0.00,3.60,0.06,0.05,6.00,0.00
0652,つるむらさき　茎葉　生,11.00,0.70,0.20,2.60,250.00,0.00,1.10,0.03,0.07,41.00,0.00
0653,つるむらさき　茎葉　ゆで,12.00,0.90,0.20,3.20,280.00,0.00,1.30,0.02,0.05,18.00,0.00
0654,つわぶき　葉柄　生,19.00,0.40,0.00,5.60,5.00,0.00,0.40,0.01,0.04,4.00,0.30
0655,つわぶき　葉柄　ゆで,14.00,0.30,0.00,4.40,7.00,0.00,0.40,0.01,0.03,0.00,0.10
0656,とうがらし　葉･果実　生,32.00,3.40,0.10,7.20,430.00,0.00,7.70,0.08,0.28,92.00,0.00
0657,とうがらし　葉･果実　油いため,81.00,4.00,4.90,8.50,480.00,0.00,8.50,0.12,0.28,56.00,0.00
0658,とうがらし　果実　生,72.00,3.90,3.40,16.30,640.00,0.00,8.90,0.14,0.36,120.00,0.00
0659,とうがらし　果実　乾,270.00,14.70,12.00,58.40,"1,500.00",0.00,30.00,0.50,1.40,1.00,0.00
0660,とうがん　果実　生,15.00,0.50,0.10,3.80,0.00,0.00,0.10,0.01,0.01,39.00,0.00
0661,とうがん　果実　ゆで,15.00,0.60,0.10,3.70,0.00,0.00,0.10,0.01,0.01,27.00,0.00
0662,（とうもろこし類）　スイートコーン　未熟種子　生,89.00,3.60,1.70,16.80,4.00,0.00,0.30,0.15,0.10,8.00,0.00
0663,（とうもろこし類）　スイートコーン　未熟種子　ゆで,95.00,3.50,1.70,18.60,4.00,0.00,0.30,0.12,0.10,6.00,0.00
0664,（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,104.00,4.20,2.20,19.10,5.00,0.00,0.30,0.16,0.11,6.00,0.00
0665,（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,96.00,3.50,1.50,18.70,7.00,0.00,0.10,0.12,0.09,6.00,0.00
0666,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,91.00,2.90,1.30,19.80,6.00,0.00,0.10,0.10,0.07,4.00,0.00
0667,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,92.00,2.80,1.50,18.70,6.00,0.00,0.10,0.08,0.06,2.00,0.00
0668,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,125.00,2.90,5.80,18.90,6.00,0.00,0.80,0.10,0.07,3.00,0.00
0669,（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,82.00,1.70,0.50,18.60,4.00,0.00,0.10,0.02,0.05,3.00,0.70
0670,（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,78.00,2.30,0.50,17.80,5.00,0.00,0.10,0.03,0.05,2.00,0.50
0671,（とうもろこし類）　ヤングコーン　幼雌穂　生,29.00,2.30,0.20,6.00,3.00,0.00,0.40,0.09,0.11,9.00,0.00
0672,（トマト類）　赤色トマト　果実　生,20.00,0.70,0.10,4.70,45.00,0.00,0.90,0.05,0.02,15.00,0.00
0673,（トマト類）　赤色ミニトマト　果実　生,30.00,1.10,0.10,7.20,80.00,0.00,0.90,0.07,0.05,32.00,0.00
0674,（トマト類）　黄色トマト　果実　生,18.00,1.10,0.40,3.20,9.00,0.00,1.20,0.08,0.03,28.00,0.00
0675,（トマト類）　ドライトマト,291.00,14.20,2.10,67.30,220.00,0.00,18.00,0.68,0.30,15.00,0.30
0676,（トマト類）　加工品　ホール　食塩無添加,21.00,0.90,0.20,4.40,47.00,0.00,1.20,0.06,0.03,10.00,0.00
0677,（トマト類）　加工品　トマトジュース　食塩添加,15.00,0.70,0.10,4.00,26.00,0.00,0.70,0.04,0.04,6.00,0.30
0678,（トマト類）　加工品　トマトジュース　食塩無添加,18.00,0.70,0.10,4.00,26.00,0.00,0.70,0.04,0.04,6.00,0.00
0679,（トマト類）　加工品　ミックスジュース　食塩添加,18.00,0.60,0.00,4.30,32.00,0.00,0.80,0.03,0.03,3.00,0.20
0680,（トマト類）　加工品　ミックスジュース　食塩無添加,18.00,0.60,0.00,4.30,32.00,0.00,0.80,0.03,0.03,3.00,0.00
0681,トレビス　葉　生,17.00,1.10,0.20,3.90,1.00,0.00,0.10,0.04,0.04,6.00,0.00
0682,とんぶり　ゆで,89.00,6.10,3.50,12.90,67.00,0.00,4.60,0.11,0.17,1.00,0.00
0683,ながさきはくさい　葉　生,12.00,1.30,0.10,2.60,160.00,0.00,1.30,0.05,0.13,88.00,0.10
0684,ながさきはくさい　葉　ゆで,18.00,2.20,0.10,3.40,220.00,0.00,1.30,0.02,0.07,23.00,0.00
0685,（なす類）　なす　果実　生,18.00,1.10,0.10,5.10,8.00,0.00,0.30,0.05,0.05,4.00,0.00
0686,（なす類）　なす　果実　ゆで,17.00,1.00,0.10,4.50,8.00,0.00,0.30,0.04,0.04,1.00,0.00
0687,（なす類）　なす　果実　油いため,73.00,1.50,5.80,6.30,16.00,0.00,1.40,0.06,0.07,2.00,0.00
0688,（なす類）　なす　果実　天ぷら,165.00,1.60,14.00,12.00,9.00,0.00,2.60,0.05,0.07,2.00,0.10
0689,（なす類）　べいなす　果実　生,20.00,1.10,0.10,5.30,4.00,0.00,0.30,0.04,0.04,6.00,0.00
0690,（なす類）　べいなす　果実　素揚げ,177.00,1.00,17.00,6.70,2.00,0.00,2.50,0.05,0.04,2.00,0.00
0691,（なす類）　漬物　塩漬,22.00,1.40,0.10,5.20,4.00,0.00,0.30,0.03,0.04,7.00,2.20
0692,（なす類）　漬物　ぬかみそ漬,27.00,1.70,0.10,6.10,2.00,0.00,0.30,0.10,0.04,8.00,2.50
0693,（なす類）　漬物　こうじ漬,87.00,5.50,0.10,18.20,0.00,0.00,0.50,0.03,0.05,0.00,6.60
0694,（なす類）　漬物　からし漬,127.00,2.60,0.20,30.70,6.00,0.00,0.20,0.06,0.04,87.00,4.80
0695,（なす類）　漬物　しば漬,27.00,1.40,0.20,7.00,48.00,0.00,0.70,0.00,0.02,0.00,4.10
0696,なずな　葉　生,35.00,4.30,0.10,7.00,430.00,0.00,2.50,0.15,0.27,110.00,0.00
0697,（なばな類）　和種なばな　花らい・茎　生,34.00,4.40,0.20,5.80,180.00,0.00,2.90,0.16,0.28,130.00,0.00
0698,（なばな類）　和種なばな　花らい・茎　ゆで,28.00,4.70,0.10,4.30,200.00,0.00,2.80,0.07,0.14,44.00,0.00
0699,（なばな類）　洋種なばな　茎葉　生,36.00,4.10,0.40,6.00,220.00,0.00,1.70,0.11,0.24,110.00,0.00
0700,（なばな類）　洋種なばな　茎葉　ゆで,30.00,3.60,0.40,5.30,230.00,0.00,1.60,0.06,0.13,55.00,0.00
0701,にがうり　果実　生,15.00,1.00,0.10,3.90,17.00,0.00,0.80,0.05,0.07,76.00,0.00
0702,にがうり　果実　油いため,47.00,1.20,3.30,4.60,19.00,0.00,0.90,0.05,0.08,75.00,0.00
0703,（にら類）　にら　葉　生,18.00,1.70,0.30,4.00,290.00,0.00,2.50,0.06,0.13,19.00,0.00
0704,（にら類）　にら　葉　ゆで,27.00,2.60,0.50,5.70,370.00,0.00,3.10,0.04,0.12,11.00,0.00
0705,（にら類）　にら　葉　油いため,69.00,1.90,5.70,4.90,380.00,0.00,4.10,0.06,0.16,21.00,0.00
0706,（にら類）　花にら　花茎・花らい　生,27.00,1.90,0.20,5.90,91.00,0.00,1.00,0.07,0.08,23.00,0.00
0707,（にら類）　黄にら　葉　生,18.00,2.10,0.10,3.30,5.00,0.00,0.30,0.05,0.08,15.00,0.00
0708,（にんじん類）　葉にんじん　葉　生,16.00,1.10,0.20,3.70,140.00,0.00,1.10,0.06,0.12,22.00,0.10
0709,（にんじん類）　にんじん　根　皮つき　生,35.00,0.70,0.20,9.30,720.00,0.00,0.40,0.07,0.06,6.00,0.10
0710,（にんじん類）　にんじん　根　皮つき　ゆで,29.00,0.60,0.20,8.40,710.00,0.00,0.40,0.06,0.05,4.00,0.10
0711,（にんじん類）　にんじん　根　皮なし　生,32.00,0.70,0.20,8.80,630.00,0.00,0.50,0.04,0.03,4.00,0.10
0712,（にんじん類）　にんじん　根　皮なし　ゆで,28.00,0.70,0.10,8.50,730.00,0.00,0.40,0.06,0.05,4.00,0.10
0713,（にんじん類）　にんじん　根　皮なし　油いため,103.00,1.10,6.40,12.40,"1,000.00",0.00,1.70,0.11,0.08,5.00,0.10
0714,（にんじん類）　にんじん　根　皮なし　素揚げ,87.00,1.00,3.50,13.90,330.00,0.00,1.60,0.10,0.07,6.00,0.10
071401,（にんじん類）　にんじん　根　皮なし　カット　常法洗浄,27.00,0.50,0.20,7.30,680.00,0.00,0.40,0.04,0.03,3.00,0.00
071402,（にんじん類）　にんじん　根　皮なし　カット　次亜塩素酸洗浄,27.00,0.60,0.20,7.20,650.00,0.00,0.40,0.04,0.03,3.00,0.00
0715,（にんじん類）　にんじん　根　皮　生,26.00,0.70,0.20,7.30,720.00,0.00,0.50,0.05,0.05,4.00,0.00
0716,（にんじん類）　にんじん　根　冷凍,30.00,0.80,0.20,8.20,920.00,0.00,0.80,0.04,0.02,4.00,0.10
0717,（にんじん類）　にんじん　根　冷凍　ゆで,24.00,0.70,0.20,7.00,"1,000.00",0.00,0.90,0.03,0.02,1.00,0.10
0718,（にんじん類）　にんじん　根　冷凍　油いため,65.00,0.90,4.00,9.30,"1,100.00",0.00,1.50,0.04,0.03,2.00,0.20
0719,（にんじん類）　にんじん　グラッセ,53.00,0.70,1.40,12.70,880.00,0.00,0.70,0.03,0.03,2.00,1.00
0720,（にんじん類）　にんじん　ジュース　缶詰,29.00,0.60,0.10,6.70,370.00,0.00,0.20,0.03,0.04,1.00,0.00
0721,（にんじん類）　きんとき　根　皮つき　生,39.00,1.80,0.20,9.60,410.00,0.00,0.50,0.07,0.05,8.00,0.00
0722,（にんじん類）　きんとき　根　皮つき　ゆで,37.00,1.90,0.20,9.20,410.00,0.00,0.50,0.07,0.05,6.00,0.00
0723,（にんじん類）　きんとき　根　皮なし　生,40.00,1.80,0.30,9.70,380.00,0.00,0.50,0.07,0.05,8.00,0.00
0724,（にんじん類）　きんとき　根　皮なし　ゆで,40.00,1.90,0.40,9.60,400.00,0.00,0.50,0.06,0.06,8.00,0.00
072401,（にんじん類）　島にんじん　根　皮なし　生,35.00,1.10,0.40,8.80,22.00,0.00,1.20,0.07,0.05,14.00,0.10
0725,（にんじん類）　ミニキャロット　根　生,26.00,0.70,0.20,7.50,500.00,0.00,0.60,0.04,0.03,4.00,0.00
0726,（にんにく類）　にんにく　りん茎　生,129.00,6.40,0.90,27.50,0.00,0.00,0.50,0.19,0.07,12.00,0.00
0727,（にんにく類）　にんにく　りん茎　油いため,191.00,8.20,5.90,30.60,0.00,0.00,1.50,0.23,0.09,10.00,0.00
0728,（にんにく類）　茎にんにく　花茎　生,44.00,1.90,0.30,10.60,60.00,0.00,0.80,0.11,0.10,45.00,0.00
0729,（にんにく類）　茎にんにく　花茎　ゆで,43.00,1.70,0.20,10.70,56.00,0.00,0.80,0.10,0.07,39.00,0.00
0730,（ねぎ類）　根深ねぎ　葉　軟白　生,35.00,1.40,0.10,8.30,7.00,0.00,0.20,0.05,0.04,14.00,0.00
0731,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,28.00,1.30,0.10,6.80,6.00,0.00,0.10,0.04,0.03,10.00,0.00
0732,（ねぎ類）　根深ねぎ　葉　軟白　油いため,77.00,1.60,4.40,9.50,6.00,0.00,0.90,0.06,0.05,15.00,0.00
0733,（ねぎ類）　葉ねぎ　葉　生,29.00,1.90,0.30,6.50,120.00,0.00,0.90,0.06,0.11,32.00,0.00
0734,（ねぎ類）　葉ねぎ　葉　油いため,77.00,2.10,5.20,7.90,150.00,0.00,2.10,0.07,0.12,43.00,0.00
073401,（ねぎ類）　九条ねぎ　葉　生,32.00,1.70,0.30,7.30,110.00,0.00,0.60,0.06,0.10,27.00,0.00
0735,（ねぎ類）　こねぎ　葉　生,26.00,2.00,0.30,5.40,190.00,0.00,1.30,0.08,0.14,44.00,0.00
073501,（ねぎ類）　めねぎ　葉　生,15.00,1.50,0.30,2.40,240.00,0.00,0.80,0.08,0.10,12.00,0.00
0736,のざわな　葉　生,14.00,0.90,0.10,3.50,100.00,0.00,0.50,0.06,0.10,41.00,0.10
0737,のざわな　漬物　塩漬,17.00,1.20,0.10,4.10,130.00,0.00,0.70,0.05,0.11,27.00,1.50
0738,のざわな　漬物　調味漬,22.00,1.70,0.00,5.40,200.00,0.00,1.30,0.03,0.11,26.00,2.40
0739,のびる　りん茎葉　生,63.00,3.20,0.20,15.50,67.00,0.00,1.30,0.08,0.22,60.00,0.00
0740,はくさい　結球葉　生,13.00,0.80,0.10,3.20,8.00,0.00,0.20,0.03,0.03,19.00,0.00
0741,はくさい　結球葉　ゆで,13.00,0.90,0.10,2.90,11.00,0.00,0.10,0.01,0.01,10.00,0.00
0742,はくさい　漬物　塩漬,17.00,1.50,0.10,3.30,1.00,0.00,0.20,0.04,0.03,29.00,2.10
0743,はくさい　漬物　キムチ,27.00,2.30,0.10,5.40,15.00,0.00,0.50,0.04,0.06,15.00,2.90
0744,パクチョイ　葉　生,15.00,1.60,0.20,2.70,150.00,0.00,0.90,0.07,0.12,45.00,0.00
0745,バジル　葉　生,21.00,2.00,0.60,4.00,520.00,0.00,3.50,0.08,0.19,16.00,0.00
0746,パセリ　葉　生,34.00,4.00,0.70,7.80,620.00,0.00,3.30,0.12,0.24,120.00,0.00
0747,はつかだいこん　根　生,13.00,0.80,0.10,3.10,0.00,0.00,0.00,0.02,0.02,19.00,0.00
0748,はなっこりー　生,34.00,3.60,0.50,5.40,97.00,0.00,1.30,0.09,0.15,90.00,0.00
0749,はやとうり　果実　白色種　生,20.00,0.60,0.10,4.90,0.00,0.00,0.20,0.02,0.03,11.00,0.00
0750,はやとうり　果実　白色種　塩漬,17.00,0.60,0.00,4.40,0.00,0.00,0.10,0.02,0.04,9.00,3.60
0751,はやとうり　果実　緑色種　生,21.00,0.60,0.10,4.90,2.00,0.00,0.20,0.02,0.03,11.00,0.00
0752,ビーツ　根　生,38.00,1.60,0.10,9.30,0.00,0.00,0.10,0.05,0.05,5.00,0.10
0753,ビーツ　根　ゆで,42.00,1.50,0.10,10.20,0.00,0.00,0.10,0.04,0.04,3.00,0.10
0754,（ピーマン類）　青ピーマン　果実　生,20.00,0.90,0.20,5.10,33.00,0.00,0.80,0.03,0.03,76.00,0.00
0755,（ピーマン類）　青ピーマン　果実　油いため,54.00,0.90,4.30,5.40,35.00,0.00,0.90,0.03,0.03,79.00,0.00
0756,（ピーマン類）　赤ピーマン　果実　生,28.00,1.00,0.20,7.20,88.00,0.00,4.30,0.06,0.14,170.00,0.00
0757,（ピーマン類）　赤ピーマン　果実　油いため,69.00,1.00,4.30,7.60,92.00,0.00,4.40,0.06,0.16,180.00,0.00
0758,（ピーマン類）　オレンジピーマン　果実　生,19.00,0.90,0.30,4.20,53.00,0.00,3.10,0.04,0.03,150.00,0.00
0759,（ピーマン類）　オレンジピーマン　果実　油いため,81.00,1.10,5.10,7.60,60.00,0.00,5.20,0.05,0.04,170.00,0.00
0760,（ピーマン類）　黄ピーマン　果実　生,28.00,0.80,0.20,6.60,17.00,0.00,2.40,0.04,0.03,150.00,0.00
0761,（ピーマン類）　黄ピーマン　果実　油いため,61.00,0.80,4.30,6.90,18.00,0.00,2.50,0.04,0.03,160.00,0.00
0762,（ピーマン類）　トマピー　果実　生,33.00,1.00,0.20,7.50,160.00,0.00,4.30,0.05,0.09,200.00,0.00
0763,ひのな　根・茎葉　生,17.00,1.00,0.00,4.70,98.00,0.00,0.70,0.05,0.13,52.00,0.00
0764,ひのな　根・茎葉　甘酢漬,70.00,1.40,0.50,17.30,170.00,0.00,1.40,0.04,0.08,39.00,2.80
0765,ひろしまな　葉　生,19.00,1.50,0.20,4.20,160.00,0.00,1.30,0.06,0.15,49.00,0.10
0766,ひろしまな　塩漬,15.00,1.20,0.20,3.30,170.00,0.00,0.60,0.02,0.07,15.00,2.10
0767,（ふき類）　ふき　葉柄　生,11.00,0.30,0.00,3.00,4.00,0.00,0.20,0.00,0.02,2.00,0.10
0768,（ふき類）　ふき　葉柄　ゆで,7.00,0.30,0.00,1.90,5.00,0.00,0.20,0.00,0.01,0.00,0.10
0769,（ふき類）　ふきのとう　花序　生,38.00,2.50,0.10,10.00,33.00,0.00,3.20,0.10,0.17,14.00,0.00
0770,（ふき類）　ふきのとう　花序　ゆで,31.00,2.50,0.10,7.00,22.00,0.00,2.40,0.06,0.08,3.00,0.00
0771,ふじまめ　若ざや　生,32.00,2.50,0.10,7.40,20.00,0.00,0.10,0.08,0.10,13.00,0.00
0772,ふだんそう　葉　生,17.00,2.00,0.10,3.70,310.00,0.00,1.70,0.07,0.23,19.00,0.20
0773,ふだんそう　葉　ゆで,26.00,2.80,0.10,5.40,320.00,0.00,1.70,0.03,0.11,7.00,0.20
0774,ブロッコリー　花序　生,37.00,5.40,0.60,6.60,75.00,0.00,3.00,0.17,0.23,140.00,0.00
0775,ブロッコリー　花序　ゆで,30.00,3.90,0.40,5.20,69.00,0.00,2.70,0.06,0.09,55.00,0.00
0776,ブロッコリー　花序　電子レンジ調理,56.00,5.70,0.70,7.00,83.00,0.00,3.40,0.18,0.25,140.00,0.00
0777,ブロッコリー　花序　焼き,83.00,9.90,1.20,8.40,140.00,0.00,6.00,0.27,0.40,150.00,0.00
0778,ブロッコリー　花序　油いため,109.00,6.90,6.30,6.10,97.00,0.00,5.80,0.20,0.28,130.00,0.00
0779,ブロッコリー　芽ばえ　生,18.00,1.90,0.60,2.60,120.00,0.00,1.90,0.08,0.11,64.00,0.00
0780,へちま　果実　生,17.00,0.80,0.10,3.80,4.00,0.00,0.30,0.03,0.04,5.00,0.00
0781,へちま　果実　ゆで,19.00,1.60,0.10,3.70,3.00,0.00,0.40,0.03,0.06,3.00,0.00
0782,ほうれんそう　葉　通年平均　生,18.00,2.20,0.40,3.10,350.00,0.00,2.10,0.11,0.20,35.00,0.00
0783,ほうれんそう　葉　通年平均　ゆで,23.00,2.60,0.50,4.00,450.00,0.00,2.60,0.05,0.11,19.00,0.00
